target_gene,n_real,n_src,k_pred,k_opt,jac_R1_pred,jac_R2_all,jac_R3_fixed,jac_R4_oracleK,jac_R5_oracleN,n_cd4,cells_cd4,ontarget_effect_size,ontarget_significant,pred_F1_k562,pred_F2_cd4,pred_F3_both,pred_F4_both_eff
COX4I1,126,12,158,91,0.0327272727272727,0.0179589509692132,0.0243243243243243,0.0382775119617224,0.0327868852459016,429.0,145.0,-15.97068870156173,True,326.85230717877647,2758.0492239579194,1356.0157882949698,1341.6829104817775
DOT1L,2255,2,46,6630,0.0092105263157894,0.3214082098061573,0.0410958904109589,0.321779232371318,0.2166172106824926,123.0,133.0,-7.941203953996994,True,39.06422099894981,493.8529964062344,120.34705788050896,172.7145974770413
HMGXB4,1,2,46,1,0.0217391304347826,0.0001425313568985,0.0039525691699604,1.0,1.0,11.0,422.0,-11.02878335035536,True,91.48752268971063,146.27587344528607,84.55605843849231,90.15629213001559
STRAP,3027,828,5233,6326,0.4081145584725537,0.431442417331813,0.0526315789473684,0.4418066903036843,0.3241469816272966,1700.0,242.0,-13.62300385381343,True,10684.960597034622,4126.744127463742,19599.294736462387,20477.997084779727
SUPV3L1,1765,267,2021,5943,0.2041984732824427,0.2515678449258837,0.0582066072364971,0.266721446179129,0.1897539602291877,9.0,231.0,-7.266219009800112,True,3435.0059428987843,52.91087151318385,477.8321356154782,444.11393992385695
WAC,2739,145,1212,6314,0.1606933019976498,0.3903933865450399,0.0487206449351559,0.4053089102763117,0.27011361001623,1165.0,393.0,-6.882631419443582,True,1387.3630644136454,3275.4244625623214,3949.494448867394,5752.086434675701
CSK,103,1,43,108,0.0068965517241379,0.0146807297605473,0.0229885057471264,0.0292682926829268,0.0198019801980198,548.0,1192.0,-43.65002216134179,True,41.18951656296159,2957.364419936343,308.7313555265914,9.831964858886023
EHMT1,916,65,758,5226,0.087719298245614,0.1305587229190422,0.0512589928057553,0.1338379176666051,0.0956937799043062,469.0,1623.0,-21.96161706135115,True,1085.3591304803508,2603.1160717295984,2530.1104320271734,816.7049336116779
HDAC8,39,0,25,29,0.0158730158730158,0.0055587229190421,0.0103806228373702,0.0303030303030303,0.0263157894736842,11.0,428.0,-11.353055179898664,True,12.329611126122824,70.00208311685694,19.392968672409268,21.679243424780175
KRT18,4,9,162,2,0.0184049079754601,0.000570125427594,0.0118110236220472,0.5,0.3333333333333333,0.0,634.0,-0.6378282452777444,False,185.68336962921737,16.638600972378807,44.657480624477934,120.96319633345962
SLIRP,173,10,175,30,0.0357142857142857,0.0246579247434435,0.0314769975786924,0.0518134715025906,0.0359281437125748,2.0,402.0,-9.020640098060284,True,128.9118422422123,21.33377797978129,43.5194331439189,40.893778835966856
SMARCB1,1549,171,1660,6276,0.1584837545126353,0.2207810718358038,0.0531852717708942,0.2274509803921568,0.1538175046554935,2130.0,278.0,-9.377832476599774,True,2659.416836861386,9007.65568880416,9277.823774572218,13810.706331314306
VCL,19,1,43,1,0.0163934426229508,0.0027080957810718,0.003690036900369,0.0526315789473684,0.027027027027027,2.0,1053.0,-18.245153122984213,True,64.33563325220011,46.89532416850417,31.397105054466078,23.099457895491412
ZNF581,9,1,43,1,0.04,0.0012827822120866,0.0115830115830115,0.1111111111111111,0.0588235294117647,6.0,360.0,-8.712253680285855,True,26.562579669750583,43.429338100060086,21.958312105731128,24.977326168192427
ARPC2,133,9,126,237,0.0318725099601593,0.0189566704675028,0.0432432432432432,0.0451977401129943,0.0350194552529182,216.0,208.0,-16.686984176214143,True,260.2602910906227,1573.548897010374,805.3604156858623,752.015705111266
EIF3H,3259,2482,7016,6312,0.4645096921322691,0.4645096921322691,0.0502392344497607,0.4779184681902408,0.3724994735733838,878.0,184.0,-11.242566380605094,True,32177.446394756913,2357.3180239378235,25242.748054415453,26389.291520019087
GSTZ1,1,1,25,10,0.04,0.0001425313568985,0.0039525691699604,0.1,0.0,1.0,693.0,-8.376433395125579,True,26.913331803267738,15.14977493568906,12.475170924520473,12.707112866967298
IGF1R,113,0,12,4702,0.0080645161290322,0.0161060433295324,0.0082644628099173,0.0179704016913319,0.0089285714285714,1.0,469.0,-4.60870214849539,True,12.329611126122824,14.318632543987745,6.7315809065954255,8.451580491508949
KLHDC2,3,1,25,1,0.037037037037037,0.0004275940706955,0.0039215686274509,0.3333333333333333,0.2,1.0,442.0,-14.622235757980013,True,26.913331803267738,15.14977493568906,12.475170924520473,10.252521476304427
NFE2L1,78,2,37,574,0.0,0.0111174458380843,0.0060790273556231,0.0139968895800933,0.0064516129032258,65.0,331.0,-11.61372326214928,True,37.60658725863342,262.2252147210887,104.39459788571135,124.76836799284204
UQCRB,393,269,3517,813,0.0651048760555706,0.0560148232611174,0.0642504118616145,0.0806451612903225,0.0708446866485013,360.0,254.0,-13.66579284546382,True,4553.489772397497,2389.2914310968404,5911.992853008593,5534.30353977669
USF2,3086,8,113,6433,0.0184654568608723,0.4398517673888255,0.0350278983261004,0.4468764249886001,0.2882487998330202,44.0,1364.0,-16.388794739475085,True,113.43448340913032,189.49322476680862,158.6605778643502,123.24168864399404
CENPB,1,1,31,1,0.032258064516129,0.0001425313568985,0.0039525691699604,1.0,1.0,1.0,258.0,-11.4258811694555,True,41.18951656296159,29.398709582427816,22.64616154059299,20.16597076934528
FUBP1,1679,6,84,6110,0.0161383285302593,0.2393101482326111,0.0437601296596434,0.2512449799196787,0.1603317208016586,553.0,345.0,-19.47519770821574,True,132.99646307007637,2979.4652650156786,676.0512734271744,336.4827284234807
HDAC3,2195,12,137,6315,0.030490499337163,0.3128563283922463,0.0519982810485603,0.3216337940674018,0.2057127162867344,944.0,185.0,-7.006439114646314,True,150.30042826341344,2742.94710206931,801.9356963103986,1303.3941224237765
HTATSF1,1313,25,238,6306,0.0353805073431241,0.1871436716077537,0.0398406374501992,0.1996535978586049,0.1160220994475138,2.0,431.0,-8.469798212827465,True,284.1706041957726,21.33377797978129,73.97373875900179,67.5951200046928
MAX,3583,976,4299,6309,0.4266063348416289,0.5106898517673888,0.0438095238095238,0.5225488687086347,0.3794032723772858,90.0,1352.0,-20.673799679098924,True,25209.47775508573,421.11825204684595,5201.177508977528,3383.6935408726044
MTFR1,4,1,31,1,0.0606060606060606,0.000570125427594,0.0078431372549019,0.25,0.1428571428571428,5.0,1214.0,-13.674301193141778,True,26.562579669750583,37.886838355666725,20.047692252137395,19.46834355057906
PPP2R3C,1610,12,137,6283,0.0228337236533957,0.2294754846066134,0.0436974789915966,0.2388949929367446,0.1471321695760598,5.0,655.0,-11.833069803532702,True,164.14809492388486,34.3063782269732,59.534324435391376,47.74030943720502
SMARCE1,2411,55,440,6602,0.0689913760779902,0.3436431014823261,0.0459363957597173,0.3452238805970149,0.2313585291113381,2380.0,149.0,-9.429734593804016,True,575.1390461961328,5984.534463949737,3100.1677407889474,4630.472341832626
TCF7L2,127,1,31,88,0.0193548387096774,0.0181014823261117,0.0242587601078167,0.0336538461538461,0.0283400809716599,0.0,510.0,-0.0579456315092726,False,64.33563325220011,19.037486261078996,16.911740415534382,25.503400848106224
