target_gene,n_cells_used,n_cells_avail,n_sig,median_abs_lfc,mode,gate
ANXA6,2496,2496,5,0.014066223166544089,native,10780
ARPC2,980,980,1976,0.04164999098369086,native,10780
CENPB,1379,1379,6,0.018539523096689325,native,10780
COX4I1,1058,1058,1908,0.040721429822425395,native,10780
COX6C,1025,1025,3107,0.05133060125149762,native,10780
CSK,1572,1572,2189,0.03389786461457922,native,10780
CTSV,1989,1989,1665,0.028450604564022708,native,10780
CXCL12,1201,1201,8,0.022266420131220006,native,10780
DOT1L,1484,1484,7828,0.12400816918965679,native,10780
DPH2,670,670,6843,0.13130898753278078,native,10780
EHMT1,1601,1601,6085,0.06844425129932163,native,10780
EIF3H,323,323,6680,0.1809255457551398,native,10780
FUBP1,288,288,4472,0.1152778292854732,native,10780
GNG12,677,677,2787,0.058463097558826185,native,10780
GSTZ1,1077,1077,5,0.021026418895632608,native,10780
HDAC3,504,504,5806,0.11702265319579673,native,10780
HDAC8,1204,1204,1280,0.03224617334634803,native,10780
HMGCR,843,843,1971,0.04576360215885175,native,10780
HMGXB4,1594,1594,597,0.02486319177780341,native,10780
HTATSF1,892,892,5635,0.08567106303487951,native,10780
IGF1R,2056,2056,3406,0.03703967419053071,native,10780
ITGAV,2034,2034,37,0.016854464554562985,native,10780
JAZF1,709,709,1212,0.041598571406500105,native,10780
JMJD8,767,767,25,0.026882760726618837,native,10780
KLHDC2,1763,1763,153,0.019766476734323093,native,10780
KRT18,1602,1602,11,0.017501651977591997,native,10780
MAT2A,1428,1428,41,0.019733130002037257,native,10780
MAX,161,161,6900,0.294570509646647,native,10780
MGST1,2096,2096,1245,0.02572631979082931,native,10780
MTFR1,1787,1787,21,0.017006620295994215,native,10780
NFE2L1,926,926,1255,0.037658709642820226,native,10780
PACSIN3,2101,2101,572,0.02085236228772578,native,10780
PAXIP1,1644,1644,7545,0.10576790327857585,native,10780
PPP2R3C,624,624,5372,0.09630369623015178,native,10780
SH3BP4,2925,2925,100,0.01630661683424145,native,10780
SLIRP,2000,2000,3555,0.03926801637814982,native,10780
SMARCB1,1706,1706,7246,0.09173785620539175,native,10780
SMARCE1,597,597,6375,0.12476106873589954,native,10780
STRAP,644,644,7402,0.15497810910396032,native,10780
SUPV3L1,339,339,4368,0.10966197105150827,native,10780
TCF7L2,484,484,979,0.04567059235591795,native,10780
THY1,1104,1104,58,0.022672697287210525,native,10780
TUSC3,1287,1287,8,0.019474670755625922,native,10780
UQCRB,959,959,3386,0.05383751873846,native,10780
USF2,1207,1207,8159,0.15598823071359308,native,10780
VCL,894,894,748,0.03387785360474359,native,10780
WAC,267,267,6121,0.17424355805938346,native,10780
ZNF581,2502,2502,576,0.018810299166032135,native,10780
ZNF598,255,255,859,0.06272313972084834,native,10780
